year,city,country,avg_temp,global_temp
1924,Agra,India,25.11,8.51
1925,Agra,India,24.89,8.53
1926,Agra,India,24.95,8.73
1927,Agra,India,24.89,8.52
1928,Agra,India,25.75,8.63
1929,Agra,India,25.51,8.24
1930,Agra,India,25.37,8.63
1931,Agra,India,25.76,8.72
1932,Agra,India,25.66,8.71
1933,Agra,India,24.65,8.34
1934,Agra,India,24.97,8.63
1935,Agra,India,24.94,8.52
1936,Agra,India,24.79,8.55
1937,Agra,India,24.85,8.70
1938,Agra,India,25.24,8.86
1939,Agra,India,25.18,8.76
1940,Agra,India,25.08,8.76
1941,Agra,India,26.31,8.77
1942,Agra,India,25.52,8.73
1943,Agra,India,25.31,8.76
1944,Agra,India,25.02,8.85
1945,Agra,India,24.84,8.58
1946,Agra,India,25.48,8.68
1947,Agra,India,25.62,8.80
1948,Agra,India,25.49,8.75
1949,Agra,India,25.59,8.59
1950,Agra,India,24.79,8.37
1951,Agra,India,25.55,8.63
1952,Agra,India,25.80,8.64
1953,Agra,India,26.09,8.87
1954,Agra,India,25.68,8.56
1955,Agra,India,25.13,8.63
1956,Agra,India,25.20,8.28
1957,Agra,India,24.98,8.73
1958,Agra,India,26.09,8.77
1959,Agra,India,25.67,8.73
1960,Agra,India,25.64,8.58
1961,Agra,India,24.91,8.80
1962,Agra,India,25.26,8.75
1963,Agra,India,25.44,8.86
1964,Agra,India,25.34,8.41
1965,Agra,India,25.47,8.53
1966,Agra,India,25.87,8.60
1967,Agra,India,25.15,8.70
1968,Agra,India,25.05,8.52
1969,Agra,India,25.84,8.60
1970,Agra,India,25.37,8.70
1971,Agra,India,24.57,8.60
1972,Agra,India,25.50,8.50
1973,Agra,India,25.72,8.95
1974,Agra,India,25.63,8.47
1975,Agra,India,25.22,8.74
1976,Agra,India,25.53,8.35
1977,Agra,India,25.59,8.85
1978,Agra,India,25.21,8.69
1979,Agra,India,26.03,8.73
1980,Agra,India,25.96,8.98
1981,Agra,India,25.78,9.17
1982,Agra,India,25.37,8.64
1983,Agra,India,24.84,9.03
1984,Agra,India,25.51,8.69
1985,Agra,India,25.83,8.66
1986,Agra,India,25.44,8.83
1987,Agra,India,26.43,8.99
1988,Agra,India,26.06,9.20
1989,Agra,India,25.47,8.92
1990,Agra,India,25.58,9.23
1991,Agra,India,25.85,9.18
1992,Agra,India,25.69,8.84
1993,Agra,India,25.88,8.87
1994,Agra,India,25.75,9.04
1995,Agra,India,25.86,9.35
1996,Agra,India,25.63,9.04
1997,Agra,India,24.92,9.20
1998,Agra,India,25.91,9.52
1999,Agra,India,26.12,9.29
2000,Agra,India,25.98,9.20
2001,Agra,India,25.76,9.41
2002,Agra,India,26.66,9.57
2003,Agra,India,25.84,9.53
2004,Agra,India,26.11,9.32
2005,Agra,India,25.85,9.70
2006,Agra,India,26.34,9.53
2007,Agra,India,26.00,9.73
2008,Agra,India,25.57,9.43
2009,Agra,India,26.55,9.51
2010,Agra,India,26.51,9.70
2011,Agra,India,25.53,9.52
2012,Agra,India,25.86,9.51
2013,Agra,India,26.69,9.61
